iter	Passed	Remaining
495	3080	3129
496	3086	3123
497	3091	3116
498	3097	3109
499	3103	3103
500	3109	3096
501	3114	3090
502	3120	3083
503	3126	3077
504	3132	3070
505	3137	3063
506	3143	3056
507	3148	3049
508	3154	3042
509	3159	3035
510	3165	3028
511	3170	3022
512	3176	3015
513	3182	3008
514	3188	3002
515	3194	2996
516	3199	2988
517	3204	2982
518	3210	2975
519	3216	2968
520	3222	2962
521	3227	2955
522	3233	2948
523	3238	2941
524	3244	2935
525	3251	2929
526	3258	2924
527	3264	2917
528	3269	2910
529	3274	2903
530	3279	2897
531	3285	2889
532	3290	2883
533	3296	2876
534	3301	2869
535	3306	2862
536	3311	2855
537	3316	2848
538	3322	2841
539	3327	2834
540	3332	2827
541	3338	2820
542	3343	2813
543	3348	2806
544	3354	2800
545	3360	2794
546	3365	2787
547	3371	2780
548	3375	2773
549	3381	2766
550	3386	2759
551	3391	2752
552	3396	2745
553	3402	2738
554	3407	2732
555	3412	2725
556	3417	2718
557	3423	2711
558	3428	2704
559	3434	2698
560	3439	2691
561	3445	2685
562	3450	2678
563	3456	2672
564	3461	2665
565	3466	2658
566	3471	2651
567	3476	2644
568	3482	2637
569	3487	2630
570	3492	2623
571	3497	2617
572	3503	2610
573	3508	2604
574	3513	2597
575	3519	2590
576	3524	2584
577	3530	2577
578	3535	2570
579	3541	2564
580	3546	2557
581	3551	2551
582	3557	2544
583	3562	2537
584	3568	2531
585	3573	2524
586	3578	2518
587	3583	2511
588	3589	2504
589	3595	2498
590	3600	2491
591	3609	2487
592	3615	2481
593	3620	2474
594	3625	2467
595	3630	2461
596	3636	2454
597	3641	2447
598	3646	2440
599	3651	2434
600	3656	2427
601	3661	2421
602	3666	2414
603	3672	2407
604	3677	2401
605	3683	2394
606	3689	2388
607	3694	2382
608	3700	2375
609	3705	2368
610	3710	2362
611	3715	2355
612	3720	2349
613	3725	2342
614	3731	2336
615	3737	2329
616	3742	2323
617	3748	2316
618	3753	2310
619	3758	2303
620	3763	2296
621	3768	2290
622	3774	2283
623	3780	2278
624	3786	2271
625	3791	2265
626	3796	2258
627	3802	2252
628	3807	2245
629	3812	2239
630	3818	2232
631	3823	2226
632	3828	2219
633	3834	2213
634	3839	2207
635	3845	2200
636	3850	2194
637	3855	2187
638	3861	2181
639	3866	2174
640	3872	2168
641	3877	2162
642	3882	2155
643	3887	2149
644	3893	2142
645	3898	2136
646	3903	2129
647	3909	2123
648	3914	2117
649	3919	2110
650	3925	2104
651	3930	2098
652	3936	2091
653	3941	2085
654	3947	2079
655	3952	2072
656	3957	2065
657	3962	2059
658	3967	2053
659	3973	2046
660	3978	2040
661	3984	2034
662	3989	2027
663	3994	2021
664	4000	2015
665	4005	2008
666	4010	2002
667	4016	1996
668	4022	1990
669	4027	1983
670	4032	1977
671	4037	1970
672	4042	1964
673	4047	1957
674	4052	1951
675	4058	1945
676	4063	1938
677	4069	1932
678	4074	1926
679	4079	1919
680	4084	1913
681	4090	1907
682	4095	1900
683	4100	1894
684	4105	1888
685	4111	1881
686	4116	1875
687	4121	1869
688	4127	1862
689	4132	1856
690	4138	1850
691	4144	1844
692	4148	1837
693	4154	1831
694	4160	1825
695	4165	1819
696	4170	1813
697	4176	1806
698	4181	1800
699	4186	1794
700	4191	1787
701	4196	1781
702	4203	1775
703	4208	1769
704	4213	1763
705	4219	1756
706	4223	1750
707	4229	1744
708	4234	1738
709	4239	1731
710	4244	1725
711	4250	1719
712	4256	1713
713	4261	1706
714	4266	1700
715	4271	1694
716	4277	1688
717	4283	1682
718	4288	1675
719	4293	1669
720	4299	1663
721	4304	1657
722	4310	1651
723	4314	1644
724	4320	1638
725	4326	1632
726	4331	1626
727	4336	1620
728	4341	1613
729	4347	1608
730	4353	1601
731	4358	1595
732	4363	1589
733	4368	1582
734	4373	1576
735	4378	1570
736	4383	1564
737	4388	1558
738	4394	1551
739	4399	1545
740	4405	1539
741	4410	1533
742	4415	1527
743	4420	1520
744	4425	1514
745	4430	1508
746	4436	1502
747	4441	1496
748	4446	1490
749	4451	1483
750	4457	1477
751	4462	1471
752	4467	1465
753	4473	1459
754	4478	1453
755	4483	1447
756	4489	1441
757	4494	1434
758	4500	1429
759	4505	1422
760	4511	1416
761	4516	1410
762	4522	1404
763	4527	1398
764	4532	1392
765	4537	1386
766	4543	1380
767	4548	1373
768	4553	1367
769	4558	1361
770	4562	1355
771	4568	1349
772	4573	1343
773	4578	1336
774	4584	1330
775	4589	1324
776	4595	1318
777	4600	1312
778	4605	1306
779	4610	1300
780	4615	1294
781	4621	1288
782	4626	1282
783	4632	1276
784	4637	1270
785	4642	1263
786	4647	1257
787	4652	1251
788	4658	1245
789	4663	1239
790	4668	1233
791	4673	1227
792	4678	1221
793	4683	1215
794	4688	1208
795	4694	1203
796	4699	1196
797	4704	1190
798	4709	1184
799	4725	1181
800	4735	1176
801	4747	1171
802	4758	1167
803	4768	1162
804	4776	1157
805	4782	1151
806	4788	1145
807	4797	1139
808	4804	1134
809	4809	1128
810	4815	1122
811	4821	1116
812	4826	1110
813	4831	1104
814	4837	1098
815	4842	1092
816	4847	1085
817	4852	1079
818	4857	1073
819	4862	1067
820	4867	1061
821	4873	1055
822	4878	1049
823	4883	1043
824	4889	1037
825	4894	1031
826	4899	1024
827	4905	1018
828	4910	1012
829	4915	1006
830	4921	1000
831	4927	994
832	4933	988
833	4938	982
834	4943	976
835	4948	970
836	4953	964
837	4958	958
838	4964	952
839	4969	946
840	4975	940
841	4980	934
842	4986	928
843	4990	922
844	4996	916
845	5002	910
846	5007	904
847	5012	898
848	5017	892
849	5022	886
850	5027	880
851	5033	874
852	5038	868
853	5043	862
854	5048	856
855	5054	850
856	5059	844
857	5064	838
858	5070	832
859	5075	826
860	5080	820
861	5086	814
862	5091	808
863	5096	802
864	5101	796
865	5107	790
866	5112	784
867	5117	778
868	5123	772
869	5128	766
870	5134	760
871	5139	754
872	5145	748
873	5150	742
874	5155	736
875	5161	730
876	5166	724
877	5170	718
878	5176	712
879	5182	706
880	5188	700
881	5193	694
882	5198	688
883	5204	682
884	5209	676
885	5213	670
886	5218	664
887	5224	658
888	5230	653
889	5235	647
890	5240	641
891	5245	635
892	5251	629
893	5255	623
894	5260	617
895	5266	611
896	5271	605
897	5276	599
898	5282	593
899	5287	587
900	5292	581
901	5297	575
902	5303	569
903	5308	563
904	5313	557
905	5318	551
906	5324	545
907	5329	539
908	5334	534
909	5339	528
910	5344	522
911	5349	516
912	5354	510
913	5360	504
914	5365	498
915	5370	492
916	5376	486
917	5381	480
918	5387	474
919	5392	468
920	5399	463
921	5403	457
922	5409	451
923	5414	445
924	5419	439
925	5424	433
926	5430	427
927	5435	421
928	5440	415
929	5445	409
930	5451	404
931	5456	398
932	5461	392
933	5466	386
934	5472	380
935	5477	374
936	5482	368
937	5488	362
938	5494	356
939	5500	351
940	5505	345
941	5510	339
942	5515	333
943	5520	327
944	5526	321
945	5532	315
946	5538	309
947	5543	304
948	5548	298
949	5553	292
950	5559	286
951	5564	280
952	5569	274
953	5574	268
954	5580	262
955	5585	257
956	5591	251
957	5596	245
958	5601	239
959	5607	233
960	5612	227
961	5617	221
962	5623	216
963	5629	210
964	5634	204
965	5639	198
966	5645	192
967	5650	186
968	5655	180
969	5661	175
970	5667	169
971	5672	163
972	5678	157
973	5684	151
974	5690	145
975	5697	140
976	5703	134
977	5709	128
978	5715	122
979	5722	116
980	5729	110
981	5735	105
982	5741	99
983	5747	93
984	5752	87
985	5759	81
986	5765	75
987	5771	70
988	5776	64
989	5782	58
990	5788	52
991	5794	46
992	5800	40
993	5805	35
994	5811	29
995	5816	23
996	5822	17
997	5827	11
998	5833	5
999	5838	0
